# Bad IDs, reason
C20109, molless
C20110, molless
C20111, molless
C20112, molless
C20113, molless
C20114, molless
C20115, molless
C20116, molless
C20117, molless
C20118, molless
C20616, molless
C20655, molless
C20832, molless
C20833, molless
C20837, molless
C20930, molless
C21220, molless
C21221, molless
C21222, molless
C21223, molless
C21224, molless
C21225, molless
C21226, molless
C21227, molless
C21228, molless
C21229, molless
C21230, molless
C21231, molless
C21232, molless
C21233, molless
C21234, molless
C21235, molless
C21236, molless
C21237, molless
C21238, molless
C21239, molless
C21241, molless
C21242, molless
C21243, molless
C21244, molless
C21245, molless
C21246, molless
C21758, molless
C21791, molless
C21792, molless
C22150, molless
C22151, molless
C22154, molless
C22155, molless
C22335, molless
C22336, molless
C22381, molless
C22528, molless
C22531, molless
C22532, molless
C22533, molless
C22534, molless
C22535, molless
C22536, molless
C22537, molless
C22538, molless
C22539, molless
C22540, molless
C22541, molless
C22542, molless
C22543, molless
C22544, molless
C22545, molless
C22546, molless
C22547, molless
C22879, molless
C00056, invalid
C00057, invalid
C00115, invalid
C00142, invalid
C00228, invalid
C00260, invalid
C00271, invalid
C00274, invalid
C00276, invalid
C00277, invalid
C00278, invalid
C00281, invalid
C00285, invalid
C00287, invalid
C00289, invalid
C00293, invalid
C00316, invalid
C00321, invalid
C00335, invalid
C00336, invalid
C00358, invalid
C00359, invalid
C00368, invalid
C00382, invalid
C00421, invalid
C00425, invalid
C00428, invalid
C00432, invalid
C00442, invalid
C00443, invalid
C00452, invalid
C00453, invalid
C00456, invalid
C00457, invalid
C00465, invalid
C00467, invalid
C00485, invalid
C00520, invalid
C00529, invalid
C00537, invalid
C00554, invalid
C00560, invalid
C00564, invalid
C00567, invalid
C00572, invalid
C00578, invalid
C00589, invalid
C00592, invalid
C00594, invalid
C00595, invalid
C00598, invalid
C00600, invalid
C00610, invalid
C00622, invalid
C00626, invalid
C00629, invalid
C00646, invalid
C00648, invalid
C00649, invalid
C00654, invalid
C00656, invalid
C00657, invalid
C00660, invalid
C00678, invalid
C00687, invalid
C00690, invalid
C00699, invalid
C00702, invalid
C00709, invalid
C00710, invalid
C00724, invalid
C00728, invalid
C00730, invalid
C00731, invalid
C00733, invalid
C00743, invalid
C00749, invalid
C00754, invalid
C00767, invalid
C00769, invalid
C00776, invalid
C00781, invalid
C00782, invalid
C00784, invalid
C00790, invalid
C00833, invalid
C00834, invalid
C00838, invalid
C00851, invalid
C00866, invalid
C00867, invalid
C00874, invalid
C00890, invalid
C00901, invalid
C00907, invalid
C00910, invalid
C00914, invalid
