compound_id,standard_dgf_mu,standard_error
C00460,-3182.745406678034,5.259810914245481
C00463,221.55985070699757,2.165385492423551
C00466,-292.7959458152654,1.2625764784474915
C00468,-681.5544951586019,16.78079095353774
C00469,-179.13236216246653,1.4080723754759241
C00470,-2777.0116670809043,4.290951205092468
C00472,-193.8438158118965,9.96241627729356
C00474,-777.414916366959,1.9361919371222802
C00475,-518.3576713492946,3.981600005541657
C00476,-749.3609918494767,1.990498183858841
C00477,-1298.592213169229,14.844020538007971
C00478,-727.3671772609116,2.1076547381533857
C00479,-133.07004514722843,0.8439598099804358
C00482,-709.724915903086,8.155836935545084
C00483,-95.20587642809735,2.9669202714546685
C00486,-346.5683195707918,20.763486279138625
C00487,-464.8917885011881,8.120302784943119
C00488,-164.27065378263927,7.407431343571029
C00489,-669.7651742102846,1.513294275194176
C00490,-590.9420045695858,1.6043843695958189
C00491,-666.5450959327209,2.931870753584054
C00492,-2240.747714110893,3.777925750445476
C00493,-777.8274027776741,6.259555238378672
C00494,-883.28031150615,11.370550757629015
C00495,-991.9973274209835,14.166834177472708
C00497,-849.0795480410894,4.215194526748365
C00498,-2608.2093230558858,2.0340074873030987
C00499,-641.8767890422673,6.953747011930728
C00500,-349.3893023596025,26.305020723989898
C00501,-2932.2411311926867,5.030466251027358
C00502,-973.0962554842023,1.2074383916609694
C00503,-641.6267200455338,1.230705439101896
C00504,-723.857027335821,12.076445395205644
C00506,-1122.8045208230126,3.557368830665797
C00507,-756.7059687939567,1.3831326587431405
C00508,-757.0307396584896,1.3801867088519741
C00509,-681.7979161439762,11.318234567635091
C00510,-3033.570398264238,11.236326999176345
C00512,-3080.469142854591,8.433417163049539
C00513,-2510.3972163170315,4.679826222960446
C00514,-1126.4304770494632,1.378415353849106
C00515,-372.53576087965644,3.0635218660399164
C00517,-40.06054652387614,5.5881883504643195
C00518,-1731.3996094931913,3.2241781836583128
C00519,-49.385512364148006,4.353529100759965
C00521,143.4998657684528,6.6923908811542185
C00522,-636.8396663630741,4.7798604190456055
C00523,-901.1884588332875,16.94577879040294
C00525,-127.17623070760072,4.259010296976535
C00526,-568.3906302955338,4.413277961947771
C00527,-3538.030097216496,7.961341038079046
C00528,-2303.916094051573,13.491560610039796
C00531,-3459.206927575797,8.409861932264722
C00532,-794.9609416107947,1.3666963475677785
C00533,86.49999999999764,2.931870753584047
C00534,-223.56834240693536,4.229633487219931
C00535,-867.5607812075917,14.642731586817412
C00542,-656.8334113598548,4.0764986060119694
C00543,-3.3440589996570873,2.931870753584051
C00544,-617.400298933785,4.324783121776581
C00545,-973.0962554842023,1.2074383916609694
C00546,-258.5678057628678,1.7391192575212768
C00547,-461.8700027618322,4.369097317513807
C00549,-2994.2361233070055,14.037579157819437
C00552,-1009.8759224581793,2.280828377940945
C00553,-119.78152450192974,7.345260394281648
C00557,-138.91164632139706,6.873254956432761
C00558,-1090.2026647488392,1.6026830627314994
C00559,-28.840579683346732,3.067740242811547
C00561,-46.86872048753682,4.300822578321709
