id, reason
A094529, failed to balance
A094530, failed to balance
A094544, failed to balance
A094560, failed to balance
A094561, failed to balance
A094562, failed to balance
A094878, failed to balance
A094879, failed to balance
A094893, failed to balance
A094909, failed to balance
A094910, failed to balance
A094911, failed to balance
A095375, failed to balance
A095376, failed to balance
A095390, failed to balance
A095406, failed to balance
A095407, failed to balance
A095408, failed to balance
A095909, failed to balance
A095910, failed to balance
A095911, failed to balance
A095912, failed to balance
A095929, failed to balance
A095951, failed to balance
A095952, failed to balance
A095953, failed to balance
A096101, failed to balance
A096301, failed to balance
A096302, failed to balance
A096338, failed to balance
A096339, failed to balance
A096349, failed to balance
A097359, failed to balance
A097543, failed to balance
A098174, failed to balance
A098175, failed to balance
A098289, failed to balance
A098290, failed to balance
A098306, failed to balance
A098322, failed to balance
A098323, failed to balance
A098324, failed to balance
A098496, failed to balance
A098544, failed to balance
A098545, failed to balance
A098548, failed to balance
A098553, failed to balance
A098554, failed to balance
A098555, failed to balance
A099144, failed to balance
A099145, failed to balance
A099191, failed to balance
A099192, failed to balance
A099195, failed to balance
A099200, failed to balance
A099201, failed to balance
A099202, failed to balance
A099431, failed to balance
A099556, failed to balance
A099675, failed to balance
A099906, failed to balance
A099907, failed to balance
A099910, failed to balance
A099915, failed to balance
A099916, failed to balance
A099917, failed to balance
A099961, failed to balance
A099962, failed to balance
A099965, failed to balance
A099970, failed to balance
A099971, failed to balance
A099972, failed to balance
A100016, failed to balance
A100017, failed to balance
A100020, failed to balance
A100025, failed to balance
A100026, failed to balance
A100027, failed to balance
A100294, failed to balance
A100295, failed to balance
A100309, failed to balance
A100324, failed to balance
A100325, failed to balance
A100326, failed to balance
A100369, failed to balance
A100370, failed to balance
A100373, failed to balance
A100378, failed to balance
A100379, failed to balance
A100380, failed to balance
A100475, failed to balance
A100476, failed to balance
A100492, failed to balance
A100508, failed to balance
A100509, failed to balance
A100510, failed to balance
A100810, failed to balance
A100811, failed to balance
A100827, failed to balance
A100843, failed to balance
A100844, failed to balance
A100845, failed to balance
A100980, failed to balance
A100981, failed to balance
A100982, failed to balance
A100983, failed to balance
A101001, failed to balance
A101002, failed to balance
A101022, failed to balance
A101023, failed to balance
A101024, failed to balance
A101025, failed to balance
A101026, failed to balance
A101027, failed to balance
A101520, failed to balance
A101521, failed to balance
A101522, failed to balance
A101523, failed to balance
A101541, failed to balance
A101542, failed to balance
A101562, failed to balance
A101563, failed to balance
A101564, failed to balance
A101565, failed to balance
A101566, failed to balance
A101567, failed to balance
A101653, failed to balance
A101654, failed to balance
A101668, failed to balance
A101683, failed to balance
A101684, failed to balance
A101685, failed to balance
A101777, failed to balance
A101778, failed to balance
A101794, failed to balance
A101810, failed to balance
A101811, failed to balance
A101812, failed to balance
A101861, failed to balance
A101862, failed to balance
A101865, failed to balance
A101870, failed to balance
A101871, failed to balance
A101872, failed to balance
A101954, failed to balance
A101955, failed to balance
A101968, failed to balance
A101983, failed to balance
A101984, failed to balance
A101985, failed to balance
A102146, failed to balance
A102290, failed to balance
A102291, failed to balance
A102307, failed to balance
A102323, failed to balance
A102324, failed to balance
A102325, failed to balance
A102500, failed to balance
A102578, failed to balance
A102579, failed to balance
A102592, failed to balance
A102607, failed to balance
A102608, failed to balance
A102609, failed to balance
A102699, failed to balance
A102700, failed to balance
A102716, failed to balance
A102732, failed to balance
A102733, failed to balance
A102734, failed to balance
A102830, failed to balance
A102831, failed to balance
A102847, failed to balance
A102863, failed to balance
A102864, failed to balance
A102865, failed to balance
A103062, failed to balance
A103354, failed to balance
A103355, failed to balance
A103356, failed to balance
A103357, failed to balance
A103375, failed to balance
A103376, failed to balance
A103396, failed to balance
A103397, failed to balance
A103398, failed to balance
A103399, failed to balance
A103400, failed to balance
A103401, failed to balance
A103429, failed to balance
A103430, failed to balance
A103476, failed to balance
A103477, failed to balance
A103480, failed to balance
A103485, failed to balance
A103486, failed to balance
A103487, failed to balance
A103749, failed to balance
A103750, failed to balance
A103751, failed to balance
A103752, failed to balance
A103753, failed to balance
A103754, failed to balance
A103800, failed to balance
A103801, failed to balance
A103802, failed to balance
A103848, failed to balance
A103849, failed to balance
A103850, failed to balance
A103851, failed to balance
A103852, failed to balance
A103853, failed to balance
A103854, failed to balance
A103855, failed to balance
A103856, failed to balance
A103867, failed to balance
A103916, failed to balance
A104110, failed to balance
A104111, failed to balance
A104127, failed to balance
A104143, failed to balance
A104144, failed to balance
A104145, failed to balance
A104281, failed to balance
A104368, failed to balance
A104369, failed to balance
A104385, failed to balance
A104401, failed to balance
A104402, failed to balance
A104403, failed to balance
A104788, failed to balance
A104789, failed to balance
A104805, failed to balance
A104821, failed to balance
A104822, failed to balance
A104823, failed to balance
A104909, failed to balance
A104910, failed to balance
A104926, failed to balance
A104942, failed to balance
A104943, failed to balance
A104944, failed to balance
A105200, failed to balance
A105201, failed to balance
A105202, failed to balance
A105203, failed to balance
A105204, failed to balance
A105205, failed to balance
A105251, failed to balance
A105252, failed to balance
A105253, failed to balance
A105299, failed to balance
A105300, failed to balance
A105301, failed to balance
A105302, failed to balance
A105303, failed to balance
A105304, failed to balance
A105305, failed to balance
A105306, failed to balance
A105307, failed to balance
A105343, failed to balance
A105344, failed to balance
A105347, failed to balance
A105352, failed to balance
A105353, failed to balance
A105354, failed to balance
A105507, failed to balance
A105508, failed to balance
